Index,Key (Hex),Key (Dec),Name,Unknown,Type,Subtype,Size,Size (Hex)
0,0x006ABFB7,6995895,Unknown_006ABFB7,YES,UInt32,,4,0x4
1,0x017C3CBB,24919227,CurrentBoxIndex,NO,Byte,,1,0x1
2,0x03913534,59847988,EventWorkMable,NO,Object,,16384,0x4000
3,0x041137D8,68237272,Unknown_041137D8,YES,Object,,4,0x4
4,0x05773961,91699553,Unknown_05773961,YES,UInt32,,4,0x4
5,0x08638763,140740451,FashionSatchels,NO,Object,,1600,0x640
6,0x08B59D02,146119938,PictureSBCHeight,NO,UInt32,,4,0x4
7,0x08D4C4DC,148161756,Unknown_08D4C4DC,YES,UInt64,,8,0x8
8,0x0926555A,153507162,Unknown_0926555A,YES,UInt64,,8,0x8
9,0x0AABCD8F,179031439,HairMake03ColorHairBlocking,NO,Object,,512,0x200
10,0x0B758BF5,192252917,HairMake12BeautyMark,NO,Object,,144,0x90
11,0x0D49F01C,222949404,Unknown_0D49F01C,YES,UInt64,,8,0x8
12,0x0D66012C,224788780,BoxData,NO,Object,,391680,0x5FA00
13,0x0F0A6814,252340244,Unknown_0F0A6814,YES,UInt32,,4,0x4
14,0x0FED62EB,267215595,Unknown_0FED62EB,YES,Object,,32,0x20
15,0x10789EC8,276340424,Unknown_10789EC8,YES,UInt32,,4,0x4
16,0x10B0677E,279996286,Unknown_10B0677E,YES,Object,,320,0x140
17,0x11796819,293169177,Unknown_11796819,YES,Object,,16384,0x4000
18,0x1354939F,324309919,HairMake05StyleEyebrow,NO,Object,,240,0xF0
19,0x150F04DB,353305819,Unknown_150F04DB,YES,Object,,2304,0x900
20,0x1522C79C,354600860,LastSaved,NO,Object,,8,0x8
21,0x1720A5E0,388015584,Unknown_1720A5E0,YES,Object,,1024,0x400
22,0x1866780C,409368588,Unknown_1866780C,YES,Object,,228,0xE4
23,0x18A80B0E,413666062,Unknown_18A80B0E,YES,Object,,32768,0x8000
24,0x19722C89,426912905,BoxLayout,NO,Array,UInt16,1088,0x440
25,0x19FC5B7B,435968891,Unknown_19FC5B7B,YES,Object,,4,0x4
26,0x1C140AA0,471075488,PictureInitialWidth,NO,UInt32,,4,0x4
27,0x1C91B58A,479311242,Unknown_1C91B58A,YES,UInt64,,8,0x8
28,0x1CDCD72D,484235053,Unknown_1CDCD72D,YES,Object,,32,0x20
29,0x1D7EE369,494855017,TicketPointsZARoyaleInfinite,NO,UInt32,,4,0x4
30,0x20487806,541620230,Unknown_20487806,YES,Object,,68,0x44
31,0x21BB87D5,565938133,Unknown_21BB87D5,YES,Object,,24,0x18
32,0x21C9BD44,566869316,Items,NO,Object,,48128,0xBC00
33,0x23FF8209,603947529,Unknown_23FF8209,YES,UInt16,,2,0x2
34,0x2482AD60,612543840,FieldItems,NO,Object,,240000,0x3A980
35,0x267FB825,645904421,HairMake07StyleEyes,NO,Object,,64,0x40
36,0x293B1722,691738402,FashionHeadwear,NO,Object,,7200,0x1C20
37,0x2A07F494,705164436,NightRoyaleBonusCards,NO,Object,,768,0x300
38,0x2A192063,706289763,Unknown_2A192063,YES,Object,,3072,0xC00
39,0x2C2C6964,741108068,EventWork1,NO,Object,,1024,0x400
40,0x2C5A822A,744129066,Unknown_2C5A822A,YES,UInt64,,8,0x8
41,0x2D87BE5C,763870812,Pokedex,NO,Object,,159848,0x27068
42,0x2EB1B190,783397264,BoxWallpapers,NO,Array,Byte,32,0x20
43,0x31379AF7,825727735,Unknown_31379AF7,YES,Object,,40,0x28
44,0x324F26DD,844048093,FashionAllInOne,NO,Object,,24000,0x5DC0
45,0x33395EDE,859397854,Unknown_33395EDE,YES,Object,,23040,0x5A00
46,0x33F30168,871563624,Unknown_33F30168,YES,UInt64,,8,0x8
47,0x33F39467,871601255,TeamIndexes,NO,Array,UInt16,72,0x48
48,0x34597EF7,878280439,Unknown_34597EF7,YES,Double,,8,0x8
49,0x356087AD,895518637,NightRoyalePostBattleRewards,NO,Object,,8192,0x2000
50,0x385BD589,945542537,Unknown_385BD589,YES,UInt32,,4,0x4
51,0x3AA1A9AD,983673261,PartyData,NO,Object,,2880,0xB40
52,0x40CC5A21,1087134241,Unknown_40CC5A21,YES,UInt16,,2,0x2
53,0x41D869BD,1104701885,Unknown_41D869BD,YES,UInt32,,4,0x4
54,0x48064544,1208370500,PictureCurrentData,NO,Object,,189144,0x2E2D8
55,0x4856C1F4,1213645300,HairMake08ColorEyes,NO,Object,,512,0x200
56,0x4B5C1B96,1264327574,Unknown_4B5C1B96,YES,Object,,32768,0x8000
